text,label
plus add commercial experience tacky,0
yes nearly time fly ear worm will away,0
do not :-d,0
amazing arrive early good,0
lt pretty graphic well minimal iconography :d,0
great deal think nd trip amp go st trip p,0
fly fabulous sky u stress away travel,0
thank,0
excite cross country flight lax hear great thing daystogo,0
❤ ️ fly ☺ ️ 👍,0
know amazingly awesome want fly,0
love graphic,0
love hipst innovation feel good brand,0
great news start flight end year,0
moodlighte way fly best experience cool calm 💜 ✈,0
good airline hand,0
view downtown hollywood sign rain mountain,0
elevategold good reason rock,0
wow blow mind,0
way impressive,0
know spotify stat guiltypleasure,0
amazing 😊,0
love beat classic,0
win award best deal airline,0
worry great ride new plane great crew airline like,0
awesome fly y way correct bill,0
apply member inflight crew team i m interested flightattendant dreampath -g,0
amazing customer service 💕 💕 good customerservice virginamerica fly,0
deal $ way lots cool city cheapflights farecompare,0
deal $ way lots cool city cheapflights farecompare,0
great week 🌞 ✈,0
come need horrible cold pleasecomeback,0
good airline fly change reservation helpful representative amp comfortable flying experience,0
rep kick butt represent team beautifully thank,0
beautiful end design right cool book ticket b c end secure,0
love team run gate e las wait delay flight keep thing entertain,0
thank outstanding crew move mountain home,0
absolute good team customer service time fly delighted thank,0
completely awesome experience nonstop thanks awesome flight depart time vabeatsjblue,0
make watch flight redcarpet oscar oscar,0
xoxo,0
good customer service rep world take cake,0
amazing staff amp super helpful run spoil comfort,0
welcome welcome,0
flight home dc sunset globe backtowinter work refresh,0
thank check ticket purchase customer happy,0
thank follow,0
😎 match get status airline + restr,0
way fly,0
match status cool,0
thank,0
love guy song dance high school dance revue,0
thank quick response apparently fast sit hold,0
cool picture plane wing site,0
great work,0
goodness people field amazing pressure ❤ ️from beatstheother crisis fly,0
thank great flight great job landing snow seriously,0
thank awesome support guy rock,0
twitter team guy kill reschedule asap thank,0
put great deal love,0
wish afford fly go home love airline,0
like,0
good flight attendant,0
nominate film foot meetthefleet oscar,0
thank,0
airline base incubator,0
nicely 👏,0
look forward watch flight home bubbly drink,0
hahaha guys amazing love guys 💗,0
sound like fun,0
classiq luv,0
thank great customer service amp help travel sort,0
thank guy route rockies airplanemodewason,0
love s music blasting gate wait flight iced coffee,0
thank easy itinerary shift impend weather painless amp free,0
thank good time vodkatonic entire flight 🍸 # sfo,0
great job add little luxury aesthetic improve air travel experience thank,0
thank gate checking baggage flight dfw lax give early boarding sweet,0
,0
inflight team make experience amazing,0
cut salt pepper shaker think guy well,0
fav airline,0
hot female pilot,0
thank,0
love virgin like,0
love wait return flight watch inflight safety video sorrynotsorry,0
hi want new route plan year fly guy hope,0
mean probably inappropriate board,0
happy spend day let,0
understanding help thx,0
thank absolutely 😎,0
free drink flight free promo,0
thank,0
thank,0
thank take care flight rockstar travel,0
thank lovely soft view travel,0
adore look forward flight,0
glad mention take virgin transformative experience,0
time fly go .thanks smooth ride new fav airline,0
promote product problem southwest recommend noneother good,0
love guy pls direct route,0
course work obsess entire family,0
ok time fly,0
get square away pick soon tweet tweet soon,0
course fun celebrating,0
flight booking problems flight sfo- san chance want gift promo code love guy,0
th lt bday greeting flight crew stewardess,0
buy tix route thank add yr airline amp yr website best transactional site,0
give credit late flight flight great service wow moment gesture,0
safety video cross country flight livewelltravele sytycd,0
look fat look yummy,0
omg omg 😍 😍 nonstop virgin ✨ 😱 ✈ ️,0
plane pretty think u know,0
thank,0
good home moodlighting,0
thank need way trip dca come,0
cool ur plane,0
great deserved,0
get set thank,0
match heaven,0
thank goodness nwk&gt;sf boom,0
luv ur people product thing y u charge herbal tea black tea caffeine drinker,0
thank y ' soon excited expansion destination spread wing,0
customer service experience refresh,0
dream open route mean,0
omg finally,0
thankyou route make day,0
awesome deal $ way,0
love take backyard consumer win biz compete,0
​ fly excellent news,0
new route ✈ ️,0
flight artisanal cheese wine pair,0
classy,0
sure lot flight lot fast mph strong tailwind,0
t minus minute upgrade window open freeneversuck 😃 👍,0
rough trip flight weather,0
perfect flight come plane sun visor stay carrier raise,0
nice rt man steel fast say sciencebehindtheexperience,0
love dance little richard cool bean,0
use =/ love lt use email future,0
thank free birthday point y ' right,0
thank share add site,0
good infographic,0
plan short haul airline defiantly fly guy,0
wifi well seat,0
great return call day ask myvxexperience,0
loyal driving pa fly cut philly flight,0
guy perfect lt wervirgin,0
thank good customer service leave industry,0
wish fly fare amazing,0
get pm home folk incredible letsgohome,0
look awesome movie lineup actually wish long haul,0
thank,0
thank take care mr happy customer,0
thank fill luck common,0
thank,0
thank ticket,0
follow airline beautifull ♥,0
want let know wonderful gate agent working flight let know wasappreciate,0
thank help get need issue guess sit awhile long,0
airport snow removal method good work folk,0
thank able claim interim expense cost stuff,0
fly experience,0
work coach good thing bird land ahead schedule use stat,0
record- lovely helpful choosekind,0
thx update,0
despite bag make good informative email tracking update help,0
wow deal + plus seat available change customer happy,0
private jet cool work try,0
thank send,0
unrivalled access flight airport nonstop stop connection round,0
thnx info,0
kudo cancel flightling flight morning usually panic,0
awesome new plane flight extremely nice captain,0
flight adventure know old plane operational,0
thank cheese platter abundance entertainment option fly,0
thank try day set,0
definitely compliment thought bag lose send airport end happy customer,0
thanx follow email $ ticket voucher unitedairline care,0
definitely trip remember ewr sti seat pay loyal,0
great airline ❤ ️,0
^kn run plane run thank help,0
fly cancun intl best flight big small,0
ray flight wait,0
thank ask,0
,0
favorite airline,0
man wait book ticket thank life sabe,0
guy continue impress,0
upgrade list fly st min time 🙌 statusmatchpaidoff,0
refunded vacation free room night make sleep,0
thank reminder fun ride,0
terrific thank look forward great flight,0
appreciate effort get home,0
despite shaky connection look like home great job touch,0
thank,0
thank touch,0
thank iah amazing customer service daughter bag lose day,0
leave comment customer care thank contact,0
